"filename", "language", "JSON", "TypeScript", "JavaScript", "JSON with Comments", "HTML", "Svelte", "PostCSS", "XML", "Markdown", "YAML", "comment", "blank", "total"
"d:\zenostudio\zeno-wallet-pwa\.papi\descriptors\package.json", "JSON", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 25
"d:\zenostudio\zeno-wallet-pwa\.papi\polkadot-api.json", "JSON", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
"d:\zenostudio\zeno-wallet-pwa\.prettierrc", "JSON", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16
"d:\zenostudio\zeno-wallet-pwa\README.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 2, 3
"d:\zenostudio\zeno-wallet-pwa\eslint.config.js", "JavaScript", 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 3, 35
"d:\zenostudio\zeno-wallet-pwa\package.json", "JSON", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54
"d:\zenostudio\zeno-wallet-pwa\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2890, 0, 836, 3726
"d:\zenostudio\zeno-wallet-pwa\postcss.config.js", "JavaScript", 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 2, 7
"d:\zenostudio\zeno-wallet-pwa\src\app.d.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 14
"d:\zenostudio\zeno-wallet-pwa\src\app.html", "HTML", 0, 0, 0, 0, 12, 0, 0, 0, 0, 0, 0, 4, 16
"d:\zenostudio\zeno-wallet-pwa\src\app.pcss", "PostCSS", 0, 0, 0, 0, 0, 0, 438, 0, 0, 0, 5, 90, 533
"d:\zenostudio\zeno-wallet-pwa\src\lib\abis\erc1155.json", "JSON", 335, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 336
"d:\zenostudio\zeno-wallet-pwa\src\lib\abis\erc20.json", "JSON", 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 118
"d:\zenostudio\zeno-wallet-pwa\src\lib\abis\erc721.json", "JSON", 352, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 353
"d:\zenostudio\zeno-wallet-pwa\src\lib\abis\weth.json", "JSON", 279, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 280
"d:\zenostudio\zeno-wallet-pwa\src\lib\svg\account.svelte", "Svelte", 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 4
"d:\zenostudio\zeno-wallet-pwa\src\lib\svg\add-circle.svelte", "Svelte", 0, 0, 0, 0, 0, 8, 0, 0, 0, 0, 0, 0, 8
