"filename", "language", "TypeScript", "Svelte", "PostCSS", "JSON", "XML", "YAML", "comment", "blank", "total"
"d:\zenostudio\zeno-wallet-pwa\package.json", "JSON", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\zenostudio\zeno-wallet-pwa\pnpm-lock.yaml", "YAML", 0, 0, 0, 0, 0, 57, 0, 18, 75
"d:\zenostudio\zeno-wallet-pwa\src\app.pcss", "PostCSS", 0, 0, 11, 0, 0, 0, 0, -1, 10
"d:\zenostudio\zeno-wallet-pwa\src\lib\svg\asset-filled.svelte", "Svelte", 0, -4, 0, 0, 0, 0, 0, -1, -5
"d:\zenostudio\zeno-wallet-pwa\src\lib\svg\asset.svelte", "Svelte", 0, -6, 0, 0, 0, 0, 0, 0, -6
"d:\zenostudio\zeno-wallet-pwa\src\lib\svg\bridge.svelte", "Svelte", 0, 4, 0, 0, 0, 0, 0, 0, 4
"d:\zenostudio\zeno-wallet-pwa\src\lib\svg\buy.svelte", "Svelte", 0, -4, 0, 0, 0, 0, 0, 0, -4
"d:\zenostudio\zeno-wallet-pwa\src\lib\svg\currency.svelte", "Svelte", 0, 4, 0, 0, 0, 0, 0, 0, 4
"d:\zenostudio\zeno-wallet-pwa\src\lib\svg\dollar.svelte", "Svelte", 0, 4, 0, 0, 0, 0, 0, 0, 4
"d:\zenostudio\zeno-wallet-pwa\src\lib\svg\down.svelte", "Svelte", 0, 4, 0, 0, 0, 0, 0, 0, 4
"d:\zenostudio\zeno-wallet-pwa\src\lib\svg\index.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 3
"d:\zenostudio\zeno-wallet-pwa\src\lib\svg\up-down.svelte", "Svelte", 0, 4, 0, 0, 0, 0, 0, 0, 4
"d:\zenostudio\zeno-wallet-pwa\src\lib\svg\up.svelte", "Svelte", 0, 4, 0, 0, 0, 0, 0, 0, 4
"d:\zenostudio\zeno-wallet-pwa\src\lib\ui\components\accountList.svelte", "Svelte", 0, 0, 0, 0, 0, 0, 0, -2, -2
"d:\zenostudio\zeno-wallet-pwa\src\lib\ui\components\addAccount.svelte", "Svelte", 0, -210, 0, 0, 0, 0, 0, -7, -217
"d:\zenostudio\zeno-wallet-pwa\src\lib\ui\components\autolock.svelte", "Svelte", 0, 304, 0, 0, 0, 0, 0, 23, 327
"d:\zenostudio\zeno-wallet-pwa\src\lib\ui\components\chainSelector.svelte", "Svelte", 0, -17, 0, 0, 0, 0, 0, 3, -14
"d:\zenostudio\zeno-wallet-pwa\src\lib\ui\components\changePassword.svelte", "Svelte", 0, -184, 0, 0, 0, 0, 0, -17, -201
"d:\zenostudio\zeno-wallet-pwa\src\lib\ui\components\createAccount.svelte", "Svelte", 0, -174, 0, 0, 0, 0, 0, -10, -184
"d:\zenostudio\zeno-wallet-pwa\src\lib\ui\components\currencySelector.svelte", "Svelte", 0, 1, 0, 0, 0, 0, 0, -2, -1
"d:\zenostudio\zeno-wallet-pwa\src\lib\ui\components\deleteAccount.svelte", "Svelte", 0, 102, 0, 0, 0, 0, 0, 9, 111
"d:\zenostudio\zeno-wallet-pwa\src\lib\ui\components\footer.svelte", "Svelte", 0, -1, 0, 0, 0, 0, 0, 1, 0
"d:\zenostudio\zeno-wallet-pwa\src\lib\ui\components\header.svelte", "Svelte", 0, -1, 0, 0, 0, 0, 0, 0, -1
"d:\zenostudio\zeno-wallet-pwa\src\lib\ui\components\importAccount.svelte", "Svelte", 0, -193, 0, 0, 0, 0, 0, -13, -206
"d:\zenostudio\zeno-wallet-pwa\src\lib\ui\components\index.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, -1, 2
"d:\zenostudio\zeno-wallet-pwa\src\lib\ui\components\languageSelector.svelte", "Svelte", 0, -1, 0, 0, 0, 0, 0, 0, -1
"d:\zenostudio\zeno-wallet-pwa\src\lib\ui\components\modal.svelte", "Svelte", 0, 46, 0, 0, 0, 0, 1, 12, 59
"d:\zenostudio\zeno-wallet-pwa\src\lib\ui\components\resetWallet.svelte", "Svelte", 0, 194, 0, 0, 0, 0, 0, 15, 209
"d:\zenostudio\zeno-wallet-pwa\src\lib\ui\components\restoreMN.svelte", "Svelte", 0, -104, 0, 0, 0, 0, 0, -15, -119
"d:\zenostudio\zeno-wallet-pwa\src\lib\ui\runes\locale.svelte.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\zenostudio\zeno-wallet-pwa\src\lib\ui\runes\meta.svelte.ts", "TypeScript", -5, 0, 0, 0, 0, 0, 0, -7, -12
"d:\zenostudio\zeno-wallet-pwa\src\lib\ui\runes\metaData.svelte.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 6, 11
"d:\zenostudio\zeno-wallet-pwa\src\lib\ui\runes\settings.svelte.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 1, 3, 5
"d:\zenostudio\zeno-wallet-pwa\src\lib\ui\ts\copypaste.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 5, 12
"d:\zenostudio\zeno-wallet-pwa\src\lib\ui\ts\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\zenostudio\zeno-wallet-pwa\src\lib\ui\ts\type.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 6
"d:\zenostudio\zeno-wallet-pwa\src\lib\wallet\common\account.ts", "TypeScript", -21, 0, 0, 0, 0, 0, 0, -6, -27
"d:\zenostudio\zeno-wallet-pwa\src\lib\wallet\common\backup.ts", "TypeScript", 57, 0, 0, 0, 0, 0, 83, 25, 165
"d:\zenostudio\zeno-wallet-pwa\src\lib\wallet\common\constants.ts", "TypeScript", -22, 0, 0, 0, 0, 0, 0, -1, -23
"d:\zenostudio\zeno-wallet-pwa\src\lib\wallet\common\index.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 1
"d:\zenostudio\zeno-wallet-pwa\src\lib\wallet\common\indexedDB.ts", "TypeScript", 47, 0, 0, 0, 0, 0, 0, 3, 50
"d:\zenostudio\zeno-wallet-pwa\src\lib\wallet\common\type.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 5, 13
"d:\zenostudio\zeno-wallet-pwa\src\lib\wallet\runes\backup.svelte.ts", "TypeScript", -130, 0, 0, 0, 0, 0, -10, -25, -165
"d:\zenostudio\zeno-wallet-pwa\src\lib\wallet\runes\generalState.svelte.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 2, 8
"d:\zenostudio\zeno-wallet-pwa\src\lib\wallet\runes\signerCaller.svelte.ts", "TypeScript", -72, 0, 0, 0, 0, 0, 1, -13, -84
"d:\zenostudio\zeno-wallet-pwa\src\lib\wallet\worker\signer.ts", "TypeScript", 31, 0, 0, 0, 0, 0, -1, -2, 28
"d:\zenostudio\zeno-wallet-pwa\src\routes\+layout.svelte", "Svelte", 0, -1, 0, 0, 0, 0, 0, 3, 2
"d:\zenostudio\zeno-wallet-pwa\src\routes\+layout.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\zenostudio\zeno-wallet-pwa\src\routes\+page.svelte", "Svelte", 0, 44, 0, 0, 0, 0, 0, 7, 51
"d:\zenostudio\zeno-wallet-pwa\src\routes\dev\+page.svelte", "Svelte", 0, -23, 0, 0, 0, 0, 0, 4, -19
"d:\zenostudio\zeno-wallet-pwa\src\routes\settings\+page.svelte", "Svelte", 0, -2, 0, 0, 0, 0, 0, -1, -3
"d:\zenostudio\zeno-wallet-pwa\src\routes\settings\account_detail\+page.svelte", "Svelte", 0, -72, 0, 0, 0, 0, 0, 0, -72
"d:\zenostudio\zeno-wallet-pwa\src\routes\settings\account_detail\edit_avatar\+page.svelte", "Svelte", 0, -2, 0, 0, 0, 0, 0, 0, -2
"d:\zenostudio\zeno-wallet-pwa\src\routes\settings\account_manage\+page.svelte", "Svelte", 0, 120, 0, 0, 0, 0, 0, 3, 123
"d:\zenostudio\zeno-wallet-pwa\src\routes\settings\security\+page.svelte", "Svelte", 0, 34, 0, 0, 0, 0, 1, 3, 38
"d:\zenostudio\zeno-wallet-pwa\static\chain\42161.svg", "XML", 0, 0, 0, 0, 38, 0, 0, 1, 39
"d:\zenostudio\zeno-wallet-pwa\vite.config.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 5
"Total", "-", -69, -130, 11, 0, 38, 57, 76, 30, 13
